NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.110009548842, Test: 4.44332282031
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0927075931261, Test: 4.03132152378
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.065647460717, Test: 3.88073106217
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0251915572585, Test: 3.33647472765
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0875206484273, Test: 0.682775416108
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.134149785829, Test: 0.44852726667
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.224438314345, Test: 0.471346290711
NumTP: 100, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.162303056341, Test: 4.29777105137
NumTP: 200, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0438051800981, Test: 3.13671702537
NumTP: 300, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00932652561657, Test: 2.46546116264
NumTP: 400, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0188052643758, Test: 2.31828567034
NumTP: 500, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0151489715584, Test: 2.15124941161
NumTP: 1000, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0104036158631, Test: 0.604188412153
NumTP: 1500, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0330665632994, Test: 0.399576299911
NumTP: 2000, Hwidth: 20, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0401679005384, Test: 0.248086961748
NumTP: 100, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.48024035724, Test: 3.86332896927
NumTP: 200, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.03773763544, Test: 2.76678189908
NumTP: 300, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.39705209334, Test: 2.64471557004
NumTP: 400, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.87153790102, Test: 2.3922097581
NumTP: 500, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.77200392702, Test: 2.22626662605
NumTP: 1000, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.02113191062, Test: 2.20200802703
NumTP: 1500, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.44204188063, Test: 2.41589056531
NumTP: 2000, Hwidth: 2, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.72272073392, Test: 2.50163757659
NumTP: 100, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.517854453187, Test: 3.45744150909
NumTP: 200, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.973752348152, Test: 2.85211452328
NumTP: 300, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.16155431485, Test: 2.37788983991
NumTP: 400, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.65431048415, Test: 2.3288262251
NumTP: 500, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.48551923306, Test: 2.12160416822
NumTP: 1000, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.00319897922, Test: 2.17861054198
NumTP: 1500, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.16928068298, Test: 2.2369395489
NumTP: 2000, Hwidth: 5, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.34814037834, Test: 2.24985615233
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.399713333223, Test: 3.10434003
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.769682879864, Test: 2.57981524389
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.03299765073, Test: 2.28104081273
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.30666488944, Test: 2.17318839154
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.36051719853, Test: 2.0185791599
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.85073944967, Test: 2.06988371932
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.16957131426, Test: 2.23704796834
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.16276504305, Test: 2.08527463182
NumTP: 100, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.396762248276, Test: 2.99913165431
NumTP: 200, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.745124110308, Test: 2.53952237205
NumTP: 300, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.954620132274, Test: 2.17292833822
NumTP: 400, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.07643432733, Test: 2.03305212247
NumTP: 500, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.32710177884, Test: 1.96798836025
NumTP: 1000, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.76267104618, Test: 2.01641592254
NumTP: 1500, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 1.95456451646, Test: 2.08250256002
NumTP: 2000, Hwidth: 20, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 2.10794902149, Test: 2.03800974291
